description,ibkr-symbol,region,exchange,isin,just-etf,extra-etf
SG ETC HEATING OIL FUTURE,42G4,LU - Luxembourg,IBIS*,DE000ETC0860,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0860,https://extraetf.com/es/etf-profile/DE000ETC0860
SG ETC WTI CRD OIL FUTURE,42GG,LU - Luxembourg,IBIS*,DE000ETC0779,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0779,https://extraetf.com/es/etf-profile/DE000ETC0779
SG ETC COPPER FUTURE,42GI,LU - Luxembourg,IBIS*,DE000ETC0787,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0787,https://extraetf.com/es/etf-profile/DE000ETC0787
SG ETC GAS OIL FUTURE,42GL,LU - Luxembourg,IBIS*,DE000ETC0811,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0811,https://extraetf.com/es/etf-profile/DE000ETC0811
XETRA-GOLD,4GLD,DE - Germany,IBIS*,DE000A0S9GB0,https://www.justetf.com/es/etf-profile.html?isin=DE000A0S9GB0,https://extraetf.com/es/etf-profile/DE000A0S9GB0
ETFS DAILY SHORT CATTLE,4RTC,JE - Jersey,IBIS*,DE000A0V9X33,https://www.justetf.com/es/etf-profile.html?isin=DE000A0V9X33,https://extraetf.com/es/etf-profile/DE000A0V9X33
UBSETF FACTOR USA QU H GBP D,4UB8,IE - Ireland,GETTEX*,IE00BXDZNK39,https://www.justetf.com/es/etf-profile.html?isin=IE00BXDZNK39,https://extraetf.com/es/etf-profile/IE00BXDZNK39
UBS ETF MSCIW SRI USD DIS,4UB9,IE - Ireland,FWB*,IE00BK72HH44,https://www.justetf.com/es/etf-profile.html?isin=IE00BK72HH44,https://extraetf.com/es/etf-profile/IE00BK72HH44
UBS ETF MSCI USA SRI USD ACC,4UBI,IE - Ireland,IBIS*,IE00BJXT3C94,https://www.justetf.com/es/etf-profile.html?isin=IE00BJXT3C94,https://extraetf.com/es/etf-profile/IE00BJXT3C94
UBS ETF MSCI USA SRI USD DIS,4UBK,IE - Ireland,IBIS*,IE00BJXT3B87,https://www.justetf.com/es/etf-profile.html?isin=IE00BJXT3B87,https://extraetf.com/es/etf-profile/IE00BJXT3B87
UBS MSCI EM XCHN UCITS ETF A,4UBL,LU - Luxembourg,IBIS*,LU2050966394,https://www.justetf.com/es/etf-profile.html?isin=LU2050966394,https://extraetf.com/es/etf-profile/LU2050966394
UBS ETF GL LIQ CORP SUS HEUR,4UBR,LU - Luxembourg,IBIS*,LU2099992260,https://www.justetf.com/es/etf-profile.html?isin=LU2099992260,https://extraetf.com/es/etf-profile/LU2099992260
AMUNDI S&P 500 UCITS ETF,500,LU - Luxembourg,SBF*,LU1681048804,https://www.justetf.com/es/etf-profile.html?isin=LU1681048804,https://extraetf.com/es/etf-profile/LU1681048804
AMUNDI S&P 500 UCITS ETF,500E,LU - Luxembourg,AEB*,LU1681049018,https://www.justetf.com/es/etf-profile.html?isin=LU1681049018,https://extraetf.com/es/etf-profile/LU1681049018
AMUNDI S&P 500 UCITS ETF,500H,LU - Luxembourg,SBF*,LU1681049109,https://www.justetf.com/es/etf-profile.html?isin=LU1681049109,https://extraetf.com/es/etf-profile/LU1681049109
HSBC EURO STOXX 50 UCITS ETF,50E,IE - Ireland,SBF*,IE00B4K6B022,https://www.justetf.com/es/etf-profile.html?isin=IE00B4K6B022,https://extraetf.com/es/etf-profile/IE00B4K6B022
AMUNDI SMART FACTORY ETF,540S,LU - Luxembourg,IBIS*,LU2037749822,https://www.justetf.com/es/etf-profile.html?isin=LU2037749822,https://extraetf.com/es/etf-profile/LU2037749822
WT BTP 10Y 5X DAILY SHORT,5BTS,IE - Ireland,BVME.ETF*,IE00BYNXNS22,https://www.justetf.com/es/etf-profile.html?isin=IE00BYNXNS22,https://extraetf.com/es/etf-profile/IE00BYNXNS22
WT BUND 10Y 5X DAILY SHORT,5BUS,IE - Ireland,BVME.ETF*,IE00BYNXPH56,https://www.justetf.com/es/etf-profile.html?isin=IE00BYNXPH56,https://extraetf.com/es/etf-profile/IE00BYNXPH56
INVESCO S&P 500 ESG ACC,5ESG,IE - Ireland,BVME.ETF*,IE00BKS7L097,https://www.justetf.com/es/etf-profile.html?isin=IE00BKS7L097,https://extraetf.com/es/etf-profile/IE00BKS7L097
WT EURO STOXX50 5X DAILY LEV,5EUL,IE - Ireland,BVME.ETF*,XS2771503104,https://www.justetf.com/es/etf-profile.html?isin=XS2771503104,https://extraetf.com/es/etf-profile/XS2771503104
WT EURO STOXX50 5X DAILY SRT,5EUS,IE - Ireland,BVME.ETF*,XS2771502718,https://www.justetf.com/es/etf-profile.html?isin=XS2771502718,https://extraetf.com/es/etf-profile/XS2771502718
WT FTSE MIB 5X DAILY LEV,5ITL,IE - Ireland,BVME.ETF*,XS2771500696,https://www.justetf.com/es/etf-profile.html?isin=XS2771500696,https://extraetf.com/es/etf-profile/XS2771500696
WT FTSE MIB 5X DAILY SHORT,5ITS,IE - Ireland,BVME.ETF*,XS2771642720,https://www.justetf.com/es/etf-profile.html?isin=XS2771642720,https://extraetf.com/es/etf-profile/XS2771642720
GRANITESHARES 5X LONG MIB,5MIB,IE - Ireland,BVME.ETF*,XS2531767502,https://www.justetf.com/es/etf-profile.html?isin=XS2531767502,https://extraetf.com/es/etf-profile/XS2531767502
LS 5X LONG QQQ,5QQE,IE - Ireland,LSEETF*,XS2399364152,https://www.justetf.com/es/etf-profile.html?isin=XS2399364152,https://extraetf.com/es/etf-profile/XS2399364152
GRANITESHARES 5X SHORT MIB,5SIT,IE - Ireland,BVME.ETF*,XS2531767767,https://www.justetf.com/es/etf-profile.html?isin=XS2531767767,https://extraetf.com/es/etf-profile/XS2531767767
LS 5X LONG SPY,5SPE,IE - Ireland,LSEETF*,XS2399364582,https://www.justetf.com/es/etf-profile.html?isin=XS2399364582,https://extraetf.com/es/etf-profile/XS2399364582
WT US TREAS 10Y 5X DLY SHRT,5TYS,IE - Ireland,BVME.ETF*,IE00BYNXPJ70,https://www.justetf.com/es/etf-profile.html?isin=IE00BYNXPJ70,https://extraetf.com/es/etf-profile/IE00BYNXPJ70
LYXOR EURSTX600 FIN SERV,6FIN,LU - Luxembourg,IBIS*,LU2082997193,https://www.justetf.com/es/etf-profile.html?isin=LU2082997193,https://extraetf.com/es/etf-profile/LU2082997193
LYXOR EURSTX600 TRVL&LEISR,6TVL,LU - Luxembourg,IBIS*,LU2082999132,https://www.justetf.com/es/etf-profile.html?isin=LU2082999132,https://extraetf.com/es/etf-profile/LU2082999132
AM S&P 500 II-ETF USD DIST,6TVM,LU - Luxembourg,IBIS*,LU0496786657,https://www.justetf.com/es/etf-profile.html?isin=LU0496786657,https://extraetf.com/es/etf-profile/LU0496786657
AMUNDI US TRS BD 7-10 H EUR,7USH,LU - Luxembourg,IBIS*,LU1407888137,https://www.justetf.com/es/etf-profile.html?isin=LU1407888137,https://extraetf.com/es/etf-profile/LU1407888137
AMUNDI GLOBAL AGG SRI C,8OUU,LU - Luxembourg,IBIS*,LU2439734141,https://www.justetf.com/es/etf-profile.html?isin=LU2439734141,https://extraetf.com/es/etf-profile/LU2439734141
AMUNDI INDEX EURO AGG SRI D,9E0E,LU - Luxembourg,IBIS*,LU2439113387,https://www.justetf.com/es/etf-profile.html?isin=LU2439113387,https://extraetf.com/es/etf-profile/LU2439113387
ETFS LONGER DATED SOFTS,9GAM,JE - Jersey,IBIS*,DE000A0SVX91,https://www.justetf.com/es/etf-profile.html?isin=DE000A0SVX91,https://extraetf.com/es/etf-profile/DE000A0SVX91
ARK GENOMIC REV UCITS ETF,AAKG,IE - Ireland,IBIS*,IE000O5M6XO1,https://www.justetf.com/es/etf-profile.html?isin=IE000O5M6XO1,https://extraetf.com/es/etf-profile/IE000O5M6XO1
OSSIAM BLOOMBERG EUROZONE PA,OP2E,LU - Luxembourg,IBIS*,LU1847674733,https://www.justetf.com/es/etf-profile.html?isin=LU1847674733,https://extraetf.com/es/etf-profile/LU1847674733
OSSIAM BLOOMBERG EUROPE EX E,OP4E,LU - Luxembourg,IBIS*,LU1655103486,https://www.justetf.com/es/etf-profile.html?isin=LU1655103486,https://extraetf.com/es/etf-profile/LU1655103486
OSSIAM BLOOMBERG JAPAN PAB N,OP5E,LU - Luxembourg,IBIS*,LU1655103643,https://www.justetf.com/es/etf-profile.html?isin=LU1655103643,https://extraetf.com/es/etf-profile/LU1655103643
OSSIAM BLOOMBERG JAPAN PAB N,OP5H,LU - Luxembourg,IBIS*,LU1655103726,https://www.justetf.com/es/etf-profile.html?isin=LU1655103726,https://extraetf.com/es/etf-profile/LU1655103726
OSSIAM BBG APAC EXJP PNR EUR,OP6E,FR - France,IBIS*,LU2491210618,https://www.justetf.com/es/etf-profile.html?isin=LU2491210618,https://extraetf.com/es/etf-profile/LU2491210618
OSSIAM BBG USA PAB UCITS EU,OP7E,IE - Ireland,EBS*,IE000IIED424,https://www.justetf.com/es/etf-profile.html?isin=IE000IIED424,https://extraetf.com/es/etf-profile/IE000IIED424
OSSIAM BBG USA PAB UCITS EUH,OP7H,IE - Ireland,SBF*,IE000JCGTOP1,https://www.justetf.com/es/etf-profile.html?isin=IE000JCGTOP1,https://extraetf.com/es/etf-profile/IE000JCGTOP1
OSSIAM BBG CAN PAB UCITSEU,OP8E,FR - France,EBS*,IE0006QX3Y11,https://www.justetf.com/es/etf-profile.html?isin=IE0006QX3Y11,https://extraetf.com/es/etf-profile/IE0006QX3Y11
ISHARES REF INCL & DIVRSTY,OPEN,IE - Ireland,AEB*,IE00BD0B9B76,https://www.justetf.com/es/etf-profile.html?isin=IE00BD0B9B76,https://extraetf.com/es/etf-profile/IE00BD0B9B76
