id,user_id,title,description,reserved,web_slug,item_is_shippable,user_allows_shipping,date_last_modified,date_first_created,date_last_scraped,country_code,num_images,refurbished,currency,price_cents
w67d17q2296x,dqjwdvok14zo,EUROCONECTOR,Euroconector de tres metros en perfecto estado.,0,euroconector-552404028,1,1,24080511,20092914,24081120,ES,1,0,EUR,400
dqjwqm75oejo,4w67yvo45y6x,Mando DVD SAMSUNG,En buen estado.,0,mando-dvd-samsung-79414753,1,1,24080518,16042520,24081120,ES,1,0,EUR,400
nz00or0k5dzo,pzp98powxl63,Sevilla del S.XX,Dvd,0,sevilla-del-s-xx-894202499,1,1,24072915,23042112,24081120,ES,3,0,EUR,400
qzmy9vpdnlzv,kmzno5g5ogjn,TV tele con culo Vintage de 14 pulgadas ,Incluye mando. Funciona,0,tv-tele-con-culo-vintage-775826780,1,0,24072910,22042013,24081120,ES,3,0,EUR,400
8z8gd5kqx163,p8j3mol99269,Mando de ono,Mando de Ono,0,mando-de-ono-719028770,1,1,24072819,21121418,24081120,ES,2,0,EUR,400
v6ggexlrpn6e,7v6ggnx4dl6e,Twin lnb,"Se vende twin lnb nuevo sin estrenar, viene con 4 conectores",1,twin-lnb-1033103388,1,1,24072912,24072813,24081120,ES,1,0,EUR,400
pzp2wep14lj3,qjwyqp5lgqzo,Cable tdt,era de una tele antigua ,0,cable-tdt-1033097350,1,0,24072813,24072813,24081120,ES,1,0,EUR,400
pzp9w322wk63,k3zl942mv8zx,Juegos play 2,"Vendo juegos de la play 2
Juntos 25
Sueltos 4€ cada juego",0,juegos-play-2-457923102,1,1,24072817,20011813,24081120,ES,1,0,EUR,400
8j34e3op4169,qnzx49nx7pj2,Mando de TV universal,mando universal para tv,0,mando-de-tv-universal-995166282,1,1,24072717,24032808,24081120,ES,8,0,EUR,400
qzmygxd2m1zv,9wzvne2k3djl,cable conexión hdmi,conexión cable 1.5 hdmi,0,cable-conexion-hdmi-769968732,1,1,24072613,22032816,24081120,ES,1,0,EUR,400
ejk84r7q9rjx,kp613x31qdj5,cable hdmi,nuevo,0,cable-hdmi-975319571,1,1,24072513,24012111,24081120,ES,1,0,EUR,400
4z41dd1qqlzy,nz0mr4v0yrjo,la ventana indiscreta vhs,vhs,0,la-ventana-indiscreta-vhs-955243814,1,1,24080611,23111310,24081120,ES,1,0,EUR,400
qjwpx4898qzo,08z8g2wq1o63,SET 2 TIRAS Samsung 2013SVS32 LM41,Sin usar. Repuesto de 2 tiras 2013SVS32_HD_3228N1_B2_09_REV1.7 LM41-00001R SAMSUNG DF320AGH-R2,0,set-2-tiras-samsung-2013svs32-lm41-941462577,1,1,24080616,23100312,24081120,ES,1,0,EUR,400
nzx40pknq5j2,e65ygo0032jo,BALONCESTO COPA DE EUROPA Y NBA,Cintas en buen estado,0,baloncesto-copa-de-europa-y-nba-992296154,1,1,24080520,24031720,24081120,ES,5,0,EUR,400
0j2r34pppr6y,ke6502gew0zo,gafas 3D Samsung ,2 gafas 3D Samsung. ,0,gafas-3d-samsung-607121211,1,1,24061619,21021809,24081120,ES,2,0,EUR,400
4z4gpgl43lzy,kmzn9ov07jn3,regleta euroconector,para conectar 5 euroconectores,0,regleta-euroconector-733759214,1,1,24061715,22012511,24081120,ES,1,0,EUR,400
wzv4yedp1dzl,qjwydvx08gzo,Controles remotos,2 mandos LG /Nordmende ,0,telecomamdi-976939141,1,1,24061610,24012613,24081120,IT,2,0,EUR,400
wzv40lgxvqzl,8j3ye9vll769,Mando universal programable ,Mando universal programable Nimo Man 3072 for LG,0,mando-universal-programable-1020307689,1,1,24061612,24061612,24081120,ES,1,0,EUR,400
mzngyyxx8g6n,9wzvl493kd6l,hdmi 3 puertos,"te conecta 3 hdmi a 1
",0,hdmi-3-puertos-365487073,1,1,24062117,19060120,24081120,ES,2,0,EUR,400
qjwpox751ezo,mxzonogp4569,Mando Movistar original,Mando original con pilas,0,mando-movistar-original-931083505,1,1,24062718,23090213,24081120,ES,3,0,EUR,400
8z8k4g23d1z3,3zl4evyg92jx,Tele marca LOEWQ sin hd 4€,"vendo esta tele que se puede usar como monitor o para jugar a la play

4€",0,tele-marca-loewq-sin-hd-10-988495346,1,1,24062617,24030420,24081120,ES,3,0,EUR,400
4z4eveorlrjy,8x6qqn20wo6y,Tele sony 32 pulgadas ,pantalla rota para piezas,0,tele-sony-32-pulgadas-973105114,1,0,24062317,24011318,24081120,ES,2,0,EUR,400
nz04me4lg7jo,lqzmmq1kvlzv,Mando philips,mando philips,0,mando-philips-977821103,1,0,24062516,24012914,24081120,ES,1,0,EUR,400
w674358dlw6x,p61okv4v5xj5,DVD Marvel Guardianes de la galaxia 2,"Excelente estado como nuevo, usado solo una vez ",0,dvd-marvel-guardiani-della-galassia-2-968787428,1,1,24062415,23122914,24081120,IT,4,0,EUR,400
pzprn1d7y563,wzvyg5xvoqzl,Lantina ,"bueno
",0,lantina-932725474,1,1,24062405,23090617,24081120,ES,3,0,EUR,400
0j24ryvgmezy,npj90n1nkmje,Mando ELECTRO DH,"Con folleto de instrucciones de uso, mando universal multifuncional preprogramado. 
Para programar tv, video, un equipo auxiliar.",0,mando-electro-dh-980335283,1,1,24062917,24020610,24081120,ES,6,0,EUR,400
e658q7xn526o,ke65vd9w40jo,Main AV   1-869-850-15 ,KDL-32V2500,0,main-av-1-869-850-15-1005928500,1,1,24070121,24050121,24081120,ES,6,0,EUR,400
nz00xxm9nezo,p61o70w2wdj5,VHS Las tres mellizas,"Pack de dos cintas las tres mellizas.
>Don quijote de la Mancha
>Helena de Troya

ed. Salvat Cromosoma",0,vhs-las-tres-mellizas-863972899,1,1,24070512,23010812,24081120,ES,4,0,EUR,400
0j243r8wqvzy,e65yp92900jo,tele marca Samsung para piezas ,tele para piezas la pantalla enterna rota ,0,tele-marca-samsung-para-piezas-988444459,1,1,24070307,24030417,24081120,ES,7,0,EUR,400
36e18n151kjd,0j2wx9994njy,Patas de televisión samsung,patas samsung de tv ,0,patas-de-television-samsung-1012321287,1,0,24070316,24052115,24081120,ES,1,0,EUR,400
x6q9lrgo8nzy,mxzoxlk3m5z9,MANDO UNIVERSAL SATELITE,Mando universal satelite,0,mando-universal-satelite-581183218,1,1,24070122,20121001,24081120,ES,1,0,EUR,400
nz04yymxyejo,v6g4od84q76e,Display de 1 dígito bicolor ,"Display ánodo común.
Según como lo alimentes es verde o rojo (Bicolor)
Medidas 4,5x3cn
Solo disponible 5 unidades.

Precio de unidad con envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD
",0,display-de-1-digito-bicolor-1030199275,1,1,24071809,24071809,24081120,ES,6,0,EUR,400
xzo23p05nl69,7v6g0xxmr2je,TV 15 pulgadas,TV 15 pulgadas marca phocus. No tiene mando,0,tv-15-pulgadas-1025684257,1,1,24071915,24070400,24081120,ES,4,0,EUR,400
wzv4relk01zl,w67dxw77xw6x,Router,router,0,router-968833365,1,1,24071621,23122917,24081120,ES,2,0,EUR,400
mzn20omo00zn,v6g4od84q76e,Filtro cerámico 455KHz,"Filtro cerámico para de señal de comunicación.

455EW ó M55EW ó LTM455EW de 455KHz
3 + 2 pines 

Precio de 2 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
Tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCDz",0,filtro-ceramico-455khz-1030003425,1,1,24071714,24071714,24081120,ES,3,0,EUR,400
wzy4qxvnxxz5,v6g4od84q76e,Micro pulsador 2 pines ,"Interruptor táctil blanco DC12V 50mA.
Conectores DIP de 2 pines.

Precio de 7 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,micro-pulsador-2-pines-1029999944,1,1,24071714,24071714,24081120,ES,6,0,EUR,400
p614qk1dwg65,v6g4od84q76e,Filtro cerámico 455KHz,"Filtro cerámico para de señal de comunicación.

455HTW ó M55HT ó LTM455HT de 455KHz
4 + 1 pines 

Precio de 1 unidad y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
También envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,filtro-ceramico-455khz-1030005379,1,1,24071714,24071714,24081120,ES,2,0,EUR,400
3zl8nkx0n86x,v6g4od84q76e,Filtro cerámico 450kHz ,"Filtro cerámico para de señal de comunicación.

450EW ó M50EW ó LTM450EW de 450KHz
3 + 2 pines 

Precio de 2 unidades y envio incluido por ordinario,  posibilidad de entrega en mano en Valencia capital.
Tambien envio por la aplicacion.

Al tratase de componentes que se pueden averiar por un mal uso no se ofrece ninguna garantía ni devolución.

Componentes nuevos solo manipulados para tomar las imágenes.

Relacionado:
Electrónica Icom Yaesu Kenwood Motorola laboratorio osciloscopio técnico LCD",0,fultro-1030002845,1,1,24071714,24071714,24081120,ES,2,0,EUR,400
