name,prefix,alias
Los Ángeles,null,Instituto
Francesc De Borja Moll,null,Instituto
San Lorenzo,null,Instituto
Benicarló,"CIPFP ",Instituto
Tartanga,null,Instituto
Compostela,null,Instituto
Santiago,null,Instituto
De Innovación Social/gizarte Berrikuntzako,null,Instituto
Rodolfo Ucha Piñeiro,null,Instituto
A Granxa,null,Instituto
Villa De Agüimes,null,Instituto
La Casita,null,Escuela Infantil
Tafalla,null,Instituto
Los Gladiolos,null,Instituto
Aguas Nuevas,null,Instituto
IES Sakana Lh,IES,Instituto
Txurdinaga,null,Instituto
Emilio Campuzano,null,Instituto
Son Llebre,null,Instituto
De Coia,null,Instituto
Majada Marcial,null,Instituto
Escuela Sanitaria Técnico Profesional De Navarra-estna,null,Instituto
Santa María De Europa,null,Instituto
Valentín Paz Andrade,null,Instituto
Escuela Superior De Hostelería Y Agroturismo De Extremadura,CIFP,Instituto
De Desarrollo Sostenible En Edificación Inteligente/eraikin Adimendunen Garapen Iraunkorrerako,null,Instituto
Carlos Oroza,null,Instituto
Donapea,null,Instituto
Escuela de educadoras y educadores-hezitzaile eskola,null,Instituto
Politecnico Easo Politeknikoa,null,Instituto
Aretxabaleta Lanbide Eskola,null,Instituto
Virgen Del Camino,null,Instituto
Maquina-herramienta/makina-erreminta,null,Instituto
La Flora,null,Instituto
Escuela De Hostelería,CIFP,Instituto
La Costera,"CIPFP ",Instituto
El Principito,null,Escuela Infantil
Izarraitz Lanbide Heziketa,null,Instituto
Ciutat De L'aprenent,"CIPFP ",Instituto
Andra Mari,null,Instituto
As Mercedes,null,Instituto
CIFP Del Deporte,CIFP,Instituto
Ávila,null,Instituto
Escuela De Capacitación Y Exper.agrarias,null,Instituto
Centro Integr De F.p Del Mantenimiento Y Los Servicios A La Producción,null,Instituto
Politécnico De Santiago,null,Instituto
Fadura,null,Instituto
A Farixa,null,Instituto
Simón De Colonia,null,Instituto
Cruz De Piedra,null,Instituto
ánxel Casal - Monte Alto,null,Instituto
Montearagón,null,Instituto
Elizondo Lanbide Eskola,null,Instituto
Agroforestal,null,Instituto
Costa De Azahar,"CIPFP ",Instituto
Tecnológico Industrial,null,Instituto
CIFP Teruel,CIFP,Instituto
Ponce De León,null,Instituto
Imaxe E Son,null,Instituto
Can Marines,null,Instituto
Mislata,"CIPFP ",Instituto
Faitanar,"CIPFP ",Instituto
Los Enlaces,null,Instituto
Coroso,null,Instituto
Eti,null,Instituto
Juan De Colonia,null,Instituto
Escola D'imatge I So,null,Instituto
Zonzamas,null,Instituto
Príncipe Felipe,null,Instituto
A Xunqueira,null,Instituto
María Ana Sanz,null,Instituto
Los Viveros,null,Instituto
La Cigüeña,null,Escuela Infantil
Zornotza,null,Instituto
Luis Suñer Sanchís,"CIPFP ",Instituto
Bidasoa,null,Instituto
IES Lumbier,IES,Instituto
Río Ebro,null,Instituto
Elorrieta-erreka Mari,null,Instituto
San Juan-donibane,null,Instituto
Centro Integrado Politécnico De Estella,null,Instituto
Emerita Augusta,null,Instituto
Portovello,null,Instituto
Burlada Fp,null,Instituto
"Centro Integrado De F.p. De Comunicación, Imagen Y Sonido",null,Instituto
Pico Frentes,null,Instituto
Nicolas Larburu,null,Instituto
Catarroja,"CIPFP ",Instituto
Porta Da Auga,null,Instituto
Juniper Serra,null,Instituto
Coca,null,Instituto
Medina Del Campo,null,Instituto
Centro Integrado De F.p. De Cerdeño,null,Instituto
Vicente Blasco Ibáñez,"CIPFP ",Instituto
Aynadamar,null,Instituto
Rodríguez Fabrés,null,Instituto
Ciudad De León,null,Instituto
Hurtado De Mendoza,null,Instituto
Infanta Elena,null,Instituto
Ciudad De Zamora,null,Instituto
Centro Integrado De F.p. De Hostelería Y Turismo,CIFP,Instituto
Centre Integrat De Formació Professional Nauticopesquera,null,Instituto
Centre Integrat De Formació Professional Joan Taix,null,Instituto
Monte Albertia,null,Instituto
Canastell,"CIPFP ",Instituto
Profesor José Luis Graíño,null,Instituto
Camino De La Miranda,null,Instituto
Someso,null,Instituto
Virgen Del Castillo,null,Instituto
Juan De Herrera,null,Instituto
La Florida,null,Instituto
Pío XII,null,Colegio
Construccion Bizkaia,null,Instituto
De Hostelería De Cartagena,CIFP,Instituto
Manuel Antonio,null,Instituto
CIFP Nº 1,CIFP,Instituto
Iurreta,null,Instituto
Kardala,null,Instituto
